19275 -54625 -47728 -17870 27216 -84762 56464 -56616 -3349 68702 1338 -20560 83405 -25332 38027 -50072 43260 41986 13586 31045 -9592 -134226 128890 70422 40304 -160069 82419 -5638 -49576 -18114 -50923 21414 -30692 27242 -34349 768693 312211 -151296 -770992 115817 -102803 43041 52198 9066 6951 13813 12590 -2919 -18517 -92833 12912 50954 -74770 74870 12149 -22405 14748 28356 -60362 -6132 
-59815 109858 -14431 -47787 -105595 83893 -50562 98718 41377 -94491 -16796 25742 -176375 13310 -60380 70301 -23768 22845 1536 1397 -29625 168484 -72651 65862 -73022 119082 -178113 42332 86230 -7760 121154 -24237 2482 -66614 -32857 -175101 393618 593385 -42091 -786446 27649 29749 -31961 17594 12381 13520 40587 -87011 -112570 69611 5262 35385 26073 -57155 12678 -48719 97251 -75843 16316 -64411 
25842 8507 67615 14694 145709 -124818 40538 -31342 -21095 4334 -12825 -65549 120782 -20108 83938 23404 46028 -105876 39220 23351 68227 -120561 -1675 5978 38922 -35657 171135 -116139 -86084 -16474 -89785 -35013 -115598 76522 -145979 125 -5222 104866 791683 -54881 -849589 -142464 75721 -104618 20076 -55209 -78809 33963 101864 -17129 67225 -12546 1624 -62087 -82777 56268 -193650 75542 -134505 -10393 
66416 -66310 -20752 94590 -77591 11573 16951 -47266 -44115 14277 40535 -14143 -120422 -2772 -5818 -76417 -102580 -7389 -11761 20058 37235 29525 -19875 -32766 81682 -6598 -97490 74030 -81796 -16149 86618 35498 108276 -97344 3250 165642 -19050 -34058 -12558 943386 -63412 -693940 -491181 77248 -22295 47482 -8765 37521 -2673 47440 -23375 -9447 55052 48434 19990 -62081 196345 -94914 175774 5502 
373 -12230 -22989 -71873 95036 82238 -21967 40624 -7813 -53312 -80257 29912 96821 9143 -27334 -19266 -40118 64382 -49911 -31268 15294 59565 11964 66966 -87779 18424 -55550 -77473 134355 -87983 -69219 -63588 -28334 -84803 108853 -233916 -13498 -3376 -15932 -85055 937911 218009 -261225 -807557 -27325 -3893 33325 -18148 -35348 39787 69529 -76390 -124997 23367 66061 44936 -42239 26029 -39774 81121 
-77488 17951 -4748 -23307 -65 -6797 -1742 48308 78693 45064 47319 33005 8370 -87100 -53592 36716 39342 -24568 -10723 -63275 -70109 28522 30635 -53408 -21260 22449 38034 34910 -118726 91619 29965 -17934 24558 105568 3232 150295 110633 -11801 -62214 28407 -49848 577884 675124 -5301 -757949 -764 -44077 7303 -9419 -74338 -40287 35787 76701 9355 -34332 4153 42737 49757 -41282 -23227 
67731 13954 121399 -7247 -1647 -22830 46653 -23506 -17402 68796 3454 -8770 -68260 36388 -16567 -58516 40715 -8801 22991 27148 -31406 -27676 -7020 28989 83452 -59900 -37801 -19315 140184 60443 52585 71067 -35675 48492 23456 -76081 50349 -37540 57220 -106433 7296 -122386 -18509 762506 49178 -730681 64084 -224845 54990 66627 28954 -51060 -13921 -43971 -27245 -103773 -34224 -179838 19073 -19496 
-54338 -19531 -95442 -5532 -58525 101859 -29501 12457 33283 -46513 31573 31980 5143 51151 70116 48548 16643 25884 28793 -67150 31810 28758 16812 -62064 -30951 49417 143683 66974 -38122 -84052 -82060 -82349 24650 -94556 -103145 169205 -178218 -13677 18539 79160 2978 149923 -19316 11407 788352 -15548 -812517 -279855 -154084 -43257 -100243 161534 34435 -13033 -73166 52740 -62796 146809 -27602 -26284 
28930 -14228 9144 -76162 -7224 -146359 54180 -15202 -2130 44488 9850 -9980 46961 -29 40658 63901 23152 2842 10221 99153 -94947 12638 -14565 34082 14114 25814 -94796 -27141 24304 56820 81449 40474 -14667 131327 131592 -75276 61660 80776 -27925 17693 -52886 -65473 98399 51716 -17827 683284 220971 -385391 -707195 -3336 41712 -64069 -104849 25536 98271 -33889 -20966 -57172 52555 -15079 
-38338 63461 -116905 18045 -22662 121030 -71195 -7682 -8200 -46892 -95741 25878 -91022 20112 -114287 24561 -50197 25091 -83624 -50409 105821 -50809 -46000 48546 -94544 -34031 17661 -30585 -117091 -38895 -38960 55916 -66911 -91253 -7065 56357 56702 -47513 54240 -46384 103510 -64650 -41930 -77417 -77307 55860 429258 897062 88572 -913466 24373 -134585 81564 -51764 -9480 37922 114933 47477 -4805 44994 
85855 -36054 84622 103692 79130 -16239 31923 26911 4926 42537 51032 -14243 131688 3782 56318 -54743 28795 -109070 47306 42153 7323 41257 88108 -116418 35627 9768 5355 32437 40940 -23229 26040 -125253 62561 5694 43804 13063 32997 80950 37604 -3365 -130763 80888 20383 97718 45026 15069 125339 -157966 703199 153865 -829660 130820 -92764 50276 49835 43592 -30814 -7438 -3863 -43990 
-85154 47364 -56351 -54994 56981 60127 -37310 -31256 28035 6964 68403 -23357 -51348 -53771 -32094 -1119 10699 90986 -34988 -81827 -334 -33860 -39555 92134 12677 18992 48980 -12481 84725 16780 -128542 126455 80068 61680 -77989 -28702 -78585 -43009 -146700 -13054 37419 -15118 -49765 -108318 16116 -116948 10815 15727 35527 675180 94757 -758526 -498159 50186 -39373 34504 38433 -412 22699 6476 
35179 -126146 51325 16442 21197 -20537 34537 24090 -52348 -36762 -29198 -42490 22745 15306 57564 1554 5164 -66425 4290 39196 4602 -77840 -12636 -14670 43249 -7553 8597 70283 -93503 4828 93726 55163 -69155 -113635 34179 -6800 -30020 -90494 71312 112079 1127 -40396 33274 63694 -232 106733 -3620 47430 -127688 111278 742554 270961 -151675 -792499 3196 -31432 -38127 39524 -92377 2337 
11072 60071 6289 58327 -25573 -49805 35663 -9616 6806 -15496 -37833 -44357 -39815 -25550 2307 -29859 62118 38498 44814 -6010 -66373 114602 -69232 -24437 8787 -13442 33389 -92794 38401 59894 -50820 -50630 63412 133968 -21906 -123932 50817 -36665 -13776 -97416 -27304 -34285 -30601 28899 -29361 -74534 -46220 -12093 111535 -53264 -52063 521245 710685 20111 -755790 46044 -16617 -26741 101457 42717 
-111373 -10455 44843 13108 -45577 -5800 -94003 -10557 -731 -43779 45968 44999 8706 -4600 -79481 -19714 -54831 17620 20370 -1542 -35389 -102666 88437 8159 12611 71450 -82464 2411 -46301 -70133 84694 -11775 -15911 -37792 85165 87233 -20614 160021 -6228 39468 59319 43058 1814 -36807 -95822 -80799 -47289 32692 -35370 6786 86367 12105 83645 725095 8391 -541188 -4582 6588 -76789 -52021 
162853 114546 79789 39552 79866 100994 127795 85849 73293 141958 56497 103539 114119 124561 133888 107960 68850 80569 49605 101419 157759 125438 69140 86580 33941 15552 107988 129822 130854 88090 30400 63296 55585 71499 22995 103850 131099 38200 111171 99039 121349 142635 134109 79985 183353 220818 176419 101541 131745 105971 30858 30566 15692 79187 818233 574634 93426 84037 117608 128587 
